id,CODIGO_SEC,SECTO1_1993,SECTO2_1993,SECTO3_1993,SECTO4_1993,SECTO5_1993,SECTO6_1993,SECTO1_2005,SECTO2_2005,SECTO3_2005,SECTO4_2005,SECTO5_2005,SECTO6_2005
97,1100112412,0,0,0,0,0,0,0,0,1,1,0,0
98,1100112413,27,88,140,144,33,15,0,0,119,65,0,0
99,1100112414,593,832,1443,1265,421,164,1123,2626,3715,2361,989,128
100,1100112415,7,14,15,6,1,0,0,0,36,0,0,0
101,1100112416,1000,1257,1285,714,200,90,1224,2402,1665,1501,141,53
102,1100112417,1184,1094,852,278,62,24,1768,2205,1539,752,309,43
103,1100112418,577,395,263,79,19,8,1320,1940,1417,244,66,0
104,1100112419,98,280,1061,1520,496,241,137,249,1278,1214,460,155
105,1100112420,363,588,586,258,57,33,850,2007,1922,692,192,126
106,1100112421,857,1231,1827,1548,535,237,1093,2111,4871,3229,580,233
107,1100112422,110,40,21,5,1,0,1444,2084,1879,353,90,0
108,1100112425,0,0,0,0,0,0,959,729,746,82,2,0
109,1100112426,0,0,0,0,0,0,0,0,0,0,0,0
110,1100112501,792,1438,2069,1351,336,162,947,1700,2739,1304,101,20
111,1100112502,467,847,1086,613,138,90,189,395,737,441,141,1
112,1100112503,511,842,973,464,118,57,363,520,557,369,49,0
113,1100112504,1316,1864,1910,910,218,115,1349,1762,1865,843,200,1
114,1100112505,646,808,684,336,59,24,319,615,845,269,0,39
115,1100112506,214,538,789,643,197,58,182,466,765,455,61,26
116,1100112507,242,429,607,389,76,38,199,472,795,484,130,45
117,1100112508,508,900,1181,689,187,96,388,1008,1712,805,154,74
118,1100112509,524,691,754,377,99,66,607,817,725,352,40,15
119,1100112510,992,1513,1836,1269,360,209,1078,1756,2126,1507,356,91
120,1100112511,66,63,53,22,8,6,48,105,1,0,0,1
121,1100112512,5,3,49,93,17,13,19,0,54,93,21,1
122,1100112513,725,1171,1179,611,151,65,837,1323,1859,893,293,97
123,1100112514,257,283,265,118,26,15,873,590,766,247,0,0
124,1100112515,637,1148,1212,542,106,69,798,1120,2015,786,203,114
125,1100112516,329,604,606,278,67,36,523,1109,797,364,152,33
126,1100112517,784,984,1109,501,107,53,937,788,1047,424,151,73
127,1100112518,58,65,52,25,5,0,514,892,2298,1223,583,164
128,1100112519,1487,1738,1524,687,131,65,1237,1396,1444,459,92,41
129,1100112520,6,4,2,0,0,1,0,0,27,0,0,0
130,1100112521,1032,1347,1078,460,88,32,1159,1612,1395,881,87,85
131,1100112522,1,0,0,0,0,0,1,0,0,0,1,0
132,1100112523,941,820,634,218,42,24,1046,1217,646,555,43,65
133,1100112524,525,404,269,108,17,4,546,703,348,298,38,41
134,1100112525,624,556,382,114,27,16,489,536,838,157,53,0
135,1100112526,1277,1066,871,324,56,38,673,1360,1635,803,137,33
136,1100112527,429,538,508,266,43,28,686,1160,978,411,116,75
137,1100112528,828,1218,1303,589,148,46,911,3018,2736,1362,326,84
138,1100112529,156,364,891,762,228,95,335,767,2084,1257,443,0
139,1100112530,732,388,268,85,23,21,838,1002,528,128,1,1
140,1100112531,435,672,705,323,70,40,414,1132,1398,586,132,60
141,1100112532,421,707,909,387,97,38,430,646,1274,779,35,21
142,1100112533,329,800,1353,970,222,93,382,1323,2830,1422,307,124
143,1100112535,476,667,1508,1739,624,245,1206,1382,3291,2356,603,292
144,1100112536,152,481,1278,1268,356,141,174,546,1531,1011,349,183
145,1100112537,1295,2175,2582,1276,248,122,1639,2947,2792,2187,329,250
146,1100112538,14,93,452,607,158,73,55,230,520,345,132,95
147,1100112539,468,525,475,170,36,20,644,982,781,90,53,32
148,1100112540,687,610,481,148,32,11,518,1018,1084,631,138,79
149,1100112541,492,435,346,130,22,11,474,673,781,380,118,0
150,1100112542,36,107,268,237,58,16,0,493,567,273,40,11
151,1100112543,710,1168,1391,742,170,73,861,1942,2545,1574,284,36
152,1100112544,180,284,473,423,140,58,55,551,1148,485,74,68
153,1100112545,392,626,606,266,56,25,598,1174,1187,618,121,66
154,1100112546,0,3,1,0,0,0,0,3,2,0,0,0
155,1100112547,5,29,169,175,54,17,88,399,959,777,89,25
156,1100112548,657,697,580,256,55,30,575,1189,990,150,157,3
157,1100112549,465,339,207,76,12,9,456,428,545,182,45,37
158,1100112550,214,418,933,776,200,82,224,762,1550,1032,60,106
159,1100112551,596,704,660,249,51,23,857,1698,1202,475,124,30
160,1100112552,58,70,43,25,3,0,149,44,209,92,0,0
161,1100112553,123,114,111,28,11,7,492,1094,477,259,66,0
162,1100112554,39,29,19,6,3,0,88,151,175,33,0,0
163,1100112555,538,582,551,182,36,14,505,615,499,206,114,53
164,1100112557,33,32,30,12,2,1,1,6,7,1,1,0
165,1100112558,1300,1449,1211,439,85,35,1138,2008,2273,1192,315,119
166,1100112559,915,844,638,208,58,25,364,1007,485,97,159,0
167,1100112560,933,856,621,203,29,14,463,1257,628,254,91,32
168,1100112561,430,265,171,83,17,5,638,448,414,152,97,45
169,1100112562,179,63,44,14,4,2,408,91,47,85,0,0
170,1100112563,940,952,808,316,59,29,1240,1006,1173,807,154,56
171,1100112564,216,201,197,84,19,8,106,15,160,82,3,2
172,1100112565,135,227,220,99,24,5,528,1408,1755,881,146,27
173,1100112566,296,443,426,200,44,15,121,842,1336,596,39,75
174,1100112567,223,291,260,121,28,12,322,901,663,325,75,0
175,1100112568,455,471,550,553,219,94,286,1256,1387,1315,194,63
176,1100112569,126,134,154,94,32,8,319,203,699,102,157,0
177,1100112570,0,0,0,0,0,0,352,218,100,54,25,0
178,1100112571,0,0,0,0,0,0,142,72,72,0,0,0
179,1100112572,0,0,0,0,0,0,88,0,0,0,0,0
180,1100112573,0,0,0,0,0,0,84,1,0,1,0,1
181,1100112574,0,0,0,0,0,0,38,45,19,10,0,0
182,1100112575,0,0,0,0,0,0,1,1,0,0,0,0
183,1100113101,46,76,167,242,219,211,132,225,425,463,236,189
184,1100113102,85,62,223,495,515,590,62,134,461,867,698,484
185,1100113103,94,143,234,438,434,395,73,110,190,543,522,394
186,1100113104,84,74,86,84,29,36,56,68,105,137,50,70
187,1100113105,345,358,427,336,152,121,263,324,339,247,167,155
188,1100113106,75,87,137,168,132,127,85,82,132,217,133,96
189,1100113107,17,18,11,12,7,2,17,14,23,15,4,2
190,1100113108,21,42,108,190,103,102,65,123,225,237,102,77
191,1100113109,22,19,68,187,176,235,45,57,259,286,311,258
192,1100113110,40,74,108,154,123,143,26,33,98,158,128,136
193,1100113201,243,340,617,562,245,169,221,318,377,322,141,50
194,1100113202,468,551,746,509,184,133,609,650,699,529,150,61
195,1100113203,329,421,519,404,254,228,432,406,455,491,281,200
196,1100113204,133,179,309,248,75,37,97,188,237,150,42,33
197,1100113205,390,322,338,178,40,8,241,410,314,157,27,6
198,1100113206,87,108,163,99,25,20,63,113,97,85,17,7
199,1100113207,194,202,294,192,54,20,143,197,253,125,21,4
200,1100113208,645,723,855,408,79,34,497,696,761,270,51,7
201,1100113209,219,163,192,88,15,3,175,292,218,103,6,4
202,1100113210,209,145,133,48,15,1,159,166,109,60,7,5
203,1100113211,446,543,566,319,103,53,352,463,505,341,57,12
204,1100113212,190,310,376,182,50,31,292,386,357,176,34,23
205,1100113216,61,56,46,25,5,2,64,91,77,20,3,0
206,1100114101,109,262,453,504,203,124,149,327,540,376,144,50
207,1100114102,86,154,142,116,39,30,52,70,107,97,21,0
